source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
botposlednji1,1554057,match_winner,Draw,2026-06-28 07:49:05.348510,2026-06-28 20:00:00,0.23990027144041406,0.18856707858743557,0.05133319285297849,-0.06438894138238505,3.9000000000000004,76,11,11,False,,,0.35,12.18184763611111,0.908340798979967,win,40
botposlednji1,1499963,match_winner,Home,2026-06-28 07:49:05.348510,2026-06-28 18:00:00,0.30152637874492627,0.25339053532551553,0.04813584341941074,-0.06828348967817788,3.09,132,12,11,False,,,0.35,10.18184763611111,0.8607596801220091,win,41
botposlednji1,1554048,over_under,Under 2.5,2026-06-28 07:54:32.224731,2026-06-28 19:00:00,0.5478900673984217,0.43949402263689197,0.10839604476152975,-0.0685868854226831,1.7,76,11,11,False,,,0.35,11.091048685833332,0.8364711933321622,win,42
botposlednji1,1554055,match_winner,Home,2026-06-28 07:54:32.224731,2026-06-28 18:30:00,0.4059517876928987,0.3571410898113376,0.048810697881561116,-0.10690606707562278,2.2,76,11,11,False,,,0.35,10.591048685833332,0.8872896663393534,lose,43
botposlednji1,1553751,over_under,Under 2.5,2026-06-28 07:54:32.224731,2026-06-28 19:00:00,0.6381977327145814,0.4942156327335864,0.14398209998099498,-0.11290515152673197,1.39,76,11,11,False,,,0.35,11.091048685833332,0.9100643483546407,win,44
botposlednji1,1554052,match_winner,Draw,2026-06-29 08:51:50.285995,2026-06-29 22:00:00,0.25332600488399776,0.1929019402354632,0.06042406464853456,-0.08802638241760807,3.6,76,11,11,False,,,0.35,13.136031668055557,0.9479200373003241,win,45
botposlednji1,1565176,over_under,Under 2.5,2026-06-29 08:51:50.285995,2026-06-29 20:30:00,0.415364668666419,0.1941076861319402,0.2212569825344788,-0.12358054911385596,2.11,1,3,3,False,,,0.35,11.636031668055557,0.5290661295381341,win,46
botposlednji1,1562344,btts,No,2026-06-29 08:51:50.285995,2026-06-29 17:00:00,0.4837942014933656,0.30621749260288356,0.17757670889048205,-0.1388463213418092,1.78,1,3,3,False,,,0.35,8.136031668055557,0.8385787697187123,lose,47
botposlednji1,1554372,over_under,Under 2.5,2026-07-07 04:27:39.062183,2026-07-07 18:30:00,0.46700872994681786,0.25563093418665467,0.2113777957601632,0.027419205882999398,2.2,2,0,0,False,,,0.35,14.03914939361111,0.03747332528549274,win,51
botposlednji1,1554371,over_under,Under 2.5,2026-07-07 04:27:39.062183,2026-07-07 16:00:00,0.4843413127731273,0.2712132503093641,0.2131280624637632,0.009851637131970348,2.085,2,0,0,False,,,0.35,11.53914939361111,0.07982000071724005,win,52
